t,x,err
53772,0.00206932,0.00131440
53773,0.00342145,0.00144945
53774,0.00098672,0.00084514
53775,0.00049729,0.00086453
53776,0.00305070,0.00094499
53777,0.00221038,0.00128251
53778,0.00172903,0.00098637
53779,0.00313402,0.00080848
53780,0.00408328,0.00078233
53781,0.00196762,0.00130321
53784,-0.00355636,0.00092654
53785,-0.00385259,0.00079544
53786,0.00365442,0.00091142
53787,0.00342165,0.00063192
53788,0.00175353,0.00159490
53789,0.00456706,0.00087200
53795,0.00145046,0.00068503
53796,0.00239986,0.00065589
53797,0.00196221,0.00065439
53798,0.00164658,0.00078303
53799,0.00171769,0.00109049
53800,0.00169002,0.00076891
53801,0.00233232,0.00051100
53802,0.00246522,0.00047557
53803,0.00329510,0.00048096
53804,0.00541562,0.00076299
53805,0.00068530,0.00090641
53806,0.00221196,0.00081586
53807,0.00209435,0.00097990
53808,0.00213096,0.00074466
53809,0.00228012,0.00079211
53810,0.00175335,0.00068706
53811,0.00242745,0.00100495
53812,0.00233026,0.00083528
53813,0.00482993,0.00052213
53814,0.00380755,0.00065111
53815,0.00199657,0.00055823
53816,0.00180427,0.00055462
53817,0.00121595,0.00051398
53818,0.00096043,0.00050734
53819,0.00064438,0.00051947
53820,-0.00020280,0.00054962
53821,-0.00120904,0.00049408
53822,0.00088235,0.00064692
53823,-0.00043779,0.00081361
53824,-0.00057512,0.00078142
53825,0.00030209,0.00088000
53826,0.00047125,0.00105413
53827,0.00208799,0.00093565
53828,0.00130305,0.00097491
53829,-0.00038172,0.00072114
53830,0.00177916,0.00059947
53831,0.00190431,0.00061582
53832,0.00162509,0.00066874
53833,0.00188055,0.00070411
53834,0.00137002,0.00080824
53835,-0.00084346,0.00095125
53836,-0.00075692,0.00073652
53837,0.00036110,0.00063490
53838,0.00019073,0.00086132
53839,0.00065267,0.00084436
53840,0.00412254,0.00054560
53841,0.00268773,0.00054326
53842,0.00339358,0.00045463
53843,0.00409081,0.00067648
53844,0.00543977,0.00068950
53845,0.00514845,0.00058906
53846,0.00790437,0.00087900
53847,0.00701134,0.00059098
53848,0.00498177,0.00049536
53849,0.00491905,0.00051437
53850,0.00359308,0.00054641
53851,0.00347516,0.00051926
53852,0.00661581,0.00066455
53853,0.00472036,0.00067908
53854,0.00245006,0.00048728
53855,0.00330646,0.00049627
53856,0.00352625,0.00055262
53857,0.00417195,0.00247024
53858,0.00652087,0.00253784
53859,0.00610917,0.00089929
53860,0.00300192,0.00117611
53861,0.00215704,0.00089828
53862,0.00336490,0.00134809
53863,0.00323531,0.00121883
53864,0.00094702,0.00120367
53865,0.00382456,0.00136368
53866,0.00424882,0.00153007
53867,0.00563587,0.00173808
53868,0.00419736,0.00039974
53869,0.00834848,0.00054395
53870,0.00562469,0.00058703
53871,0.00509998,0.00051217
53872,0.00690161,0.00151476
53873,0.00557661,0.00109776
53874,0.00870156,0.00106027
53875,0.01069664,0.00122923
53876,0.01014742,0.00244445
53877,0.01062205,0.00843456
53878,0.00768212,0.00281211
53879,-0.00260447,0.00523002
53880,0.00236135,0.00229089
53881,0.00949173,0.00314905
53882,0.01348021,0.00699008
53885,0.00318726,0.00092431
53886,-0.00434107,0.00590568
53887,0.00197183,0.00296642
53888,0.00418302,0.00273893
53890,0.00391013,0.00267069
53891,0.00762788,0.00524930
53892,0.00170946,0.00087283
53893,0.00481326,0.00090999
53894,0.00894223,0.00109914
53895,0.00877529,0.00092702
53896,0.00958767,0.00101882
53897,0.00659726,0.00090165
53898,0.00522277,0.00075931
53899,0.00317306,0.00092239
53900,0.00261696,0.00088879
53901,0.00512259,0.00112927
53902,0.00956573,0.00081710
53903,0.00961474,0.00069946
53904,0.00535188,0.00062943
53905,0.00429590,0.00057427
53906,0.00659565,0.00064039
53907,0.00461022,0.00069488
53908,0.00417525,0.00060152
53909,0.01474480,0.00082469
53910,0.00846413,0.00056005
53911,0.00868124,0.00693536
53912,0.00578877,0.00072404
53913,0.00561456,0.00081263
53914,0.00627233,0.00063608
53915,0.00508437,0.00148881
53916,0.00642522,0.00074235
53917,0.00278580,0.00056344
53918,0.00424566,0.00054579
53919,0.00223790,0.00064299
53920,0.00448339,0.00057380
53921,0.00479902,0.00055203
53922,0.00388177,0.00115013
53923,0.00559752,0.00065303
53924,0.00557189,0.00084211
53925,0.00539551,0.00097992
53926,0.00291491,0.00116743
53927,0.00251313,0.00111011
53928,0.00417138,0.00141301
53929,0.00383591,0.00045505
53930,0.00865906,0.00067717
53931,0.01264975,0.00065791
53932,0.01651353,0.00076474
53933,0.02603555,0.00100019
53934,0.02614585,0.00105839
53935,0.01766508,0.00081716
53936,0.01337689,0.00079362
53937,0.00615986,0.00066755
53938,0.00458256,0.00071918
53939,0.00706908,0.00069175
53940,0.00800151,0.00081407
53941,0.00701412,0.00453971
53942,0.01032657,0.00532362
53943,0.00753111,0.00123648
53944,0.00347037,0.00136471
53945,0.00114046,0.00207933
53946,0.00054215,0.00131801
53947,0.00347247,0.00121742
53948,0.00428479,0.00180637
53949,0.01141295,0.00636720
53950,-0.03458539,0.01984880
53956,0.02458771,0.00552670
53959,0.01492466,0.00519562
53960,0.01879055,0.00422075
53967,0.00746712,0.00085067
53968,0.00494465,0.00086000
53970,-0.00563776,0.01270658
53972,0.00313525,0.00349827
53974,0.00222675,0.00827177
53976,0.00543512,0.00166919
53978,0.00162357,0.00142175
53981,0.00186987,0.00270621
53982,-0.00352076,0.00308845
53989,0.00444622,0.00524380
54001,-0.00591995,0.00581606
54003,0.00146458,0.00652487
54004,0.00055867,0.00110130
54005,0.00045896,0.00203428
54006,0.00140832,0.00088202
54010,-0.00077867,0.00127011
54014,0.00715222,0.00604062
54015,0.00202775,0.00099602
54016,-0.00086848,0.00129764
54017,-0.00092171,0.00147051
54018,-0.00155175,0.00246873
54019,-0.00068822,0.00094465
54020,0.00090017,0.00086558
54021,0.00294341,0.00128089
54022,0.00086023,0.00084616
54023,0.00034727,0.00082791
54024,-0.00020549,0.00082216
54025,0.00025475,0.00091018
54026,0.00237159,0.00093308
54027,0.00095756,0.00092053
54028,0.00167839,0.00065705
54029,0.00226455,0.00136446
54030,-0.00693773,0.01475347
54031,0.00426115,0.00184309
54032,0.00159370,0.00616533
54033,0.00464187,0.00181035
54034,-0.00700762,0.01078842
54036,0.00058300,0.00276455
54037,-0.00079971,0.00684766
54038,-0.03712328,0.02126196
54039,-0.00491249,0.01384888
54040,-0.00021598,0.00202051
54041,0.01576652,0.01044878
54042,0.00472794,0.00565495
54043,0.00228208,0.00102520
54044,0.00226509,0.00130323
54045,0.00925355,0.01043022
54046,0.00061496,0.00190015
54047,0.00589784,0.00370284
54048,0.00118969,0.00147996
54050,0.00092974,0.00130163
54051,-0.00117981,0.00155308
54052,0.00109979,0.00090530
54053,0.00657203,0.02554016
