t,x,error
55004.6562,0.00033450441,9.46667788E-05
55011.6562,0.000371006987,7.95925516E-05
55018.6562,0.000205304299,6.09194321E-05
55025.6562,0.000257367705,5.89337797E-05
55032.6562,0.000278591237,5.08235462E-05
55039.6562,0.000252568425,5.84124100E-05
55046.6562,0.000225384807,6.60608493E-05
55053.6562,0.000333365082,7.22987097E-05
55060.6562,0.000320273044,8.55514081E-05
55067.6562,0.00018562669,3.57774989E-05
55074.6562,0.000223709852,3.08451854E-05
55081.6562,0.000361612998,1.19852506E-04
55088.6562,0.000393749011,8.62874658E-05
55095.6562,0.000388684974,5.99777377E-05
55102.6562,0.000401851983,8.04154843E-05
55109.6562,0.000341910403,6.90668676E-05
55116.6562,0.000375045463,7.37506562E-05
55123.6562,0.000268780248,5.82488829E-05
55130.6562,0.000488859892,1.09899731E-04
55137.6562,0.000302869856,9.48986708E-05
55144.6562,0.000512246916,1.02950478E-04
55151.6562,0.000309918949,8.89669682E-05
55158.6562,0.000385698804,8.99476290E-05
55165.6562,0.000438791554,9.13097174E-05
55172.6562,0.000267275318,6.10019961E-05
55179.6562,0.000480906019,1.66390615E-04
55186.6562,0.000386434374,5.80474552E-05
55193.6562,0.000562966103,2.80044886E-04
55200.6562,0.000721469405,1.09443012E-04
55207.6562,0.000287652016,6.61839731E-05
55214.6562,0.000201720599,4.91972751E-05
55221.6562,0.000350191403,9.56514559E-05
55228.6562,0.000303221517,7.42298143E-05
55235.6562,0.000359993777,7.93187210E-05
55242.6562,0.000737775932,1.18814467E-04
55249.6562,0.00027143801,6.33839809E-05
55256.6562,0.000324225402,6.53049938E-05
55263.6562,0.000232112594,4.42354321E-05
55270.6562,0.000369582936,8.49497592E-05
55277.6562,0.000222513423,5.53270220E-05
55284.6562,0.000285669841,6.28092748E-05
55291.6562,0.0001403973,,3.41494597E-05
55298.6562,0.000159737043,5.49763390E-05
55305.6562,0.000330172887,6.31614093E-05
55312.6562,0.000578702835,7.59888426E-05
55319.6562,0.000240547088,4.40938784E-05
55326.6562,0.000336724159,8.30645731E-05
55333.6562,0.000307835522,7.18077863E-05
55340.6562,0.000248695316,6.07423899E-05
55347.6562,0.000295906473,6.55483527E-05
55354.6562,0.000245473406,5.22139562E-05
55361.6562,0.000356615579,7.52357810E-05
55368.6562,0.000265748211,4.20273573E-05
55375.6562,0.000172735556,4.56576236E-05
55382.6562,0.000506653043,6.90038360E-05
55389.6562,9.10794333E-05,2.96036960E-05
55396.6562,0.000144962512,4.50453808E-05
55403.6562,6.24460081E-05,2.02048977E-05
55410.6562,9.82031052E-05,4.82936121E-05
55417.6562,0.000182989985,5.51981429E-05
55424.6562,0.000319137936,8.48455020E-05
55431.6562,0.000186513193,5.80066881E-05
55438.6562,0.000155216636,3.26384470E-05
55445.6562,0.000141662254,4.78663424E-05
55452.6562,0.000191094543,5.57762069E-05
55459.6562,0.000393364404,1.27469451E-04
55466.6562,0.00021114554,4.98650043E-05
55473.6562,0.000417325296,8.92690077E-05
55480.6562,0.000432235218,5.81330751E-05
55487.6562,0.000409685774,7.97707908E-05
55494.6562,0.000308902992,6.52397648E-05
55501.6562,0.000218602945,5.55654660E-05
55508.6562,0.000329005299,7.86755772E-05
55515.6562,0.000161389442,5.17948101E-05
55522.6562,0.000333449163,7.34718851E-05
55529.6562,0.000454580091,9.60374455E-05
55536.6562,0.000255473948,5.90731288E-05
55543.6562,0.000326262118,8.73060926E-05
55550.6562,0.000357338227,6.86197382E-05
55557.6562,0.000268792501,9.64076899E-05
55564.6562,0.00042178799,8.75059195E-05
55571.6562,0.000412269437,1.02289421E-04
55578.6562,0.000466722384,9.54709321E-05
55585.6562,0.000251867634,5.87147406E-05
55592.6562,0.000254706625,5.95186539E-05
55599.6562,0.000237462868,6.01023421E-05
55606.6562,0.000137368857,3.39198887E-05
55613.6562,0.000337056932,7.44615027E-05
55620.6562,0.000352382922,6.94058253E-05
55627.6562,0.000413742149,7.44920908E-05
55634.6562,0.000353518815,5.86461611E-05
55641.6562,0.000509287289,1.25253864E-04
55648.6562,0.000510756217,1.00849218E-04
55655.6562,0.000268945412,4.18050040E-05
55662.6562,0.000216513305,2.03523305E-04
55669.6562,0.000119864068,3.52219722E-05
55676.6562,0.000194633962,6.42438536E-05
55683.6562,0.00023910591,4.78717520E-05
55690.6562,0.000245786097,4.34385329E-05
55697.6562,0.000108648223,2.48515826E-05
55704.6562,0.000130709042,4.18964919E-05
55711.6562,0.000134800561,4.69834704E-05
55718.6562,0.000217436667,7.98013425E-05
55725.6562,0.000133023044,5.51923476E-05
55732.6562,0.000152234381,4.64124896E-05
55739.6562,0.000267142314,6.31717703E-05
55746.6562,0.000261892506,6.37327757E-05
55753.6562,0.000223738534,5.25025753E-05
55760.6562,0.000149648171,5.98080333E-05
55767.6562,0.000280310633,7.01514291E-05
55774.6562,0.000157606279,3.15984289E-05
55781.6562,0.000199222093,6.20559658E-05
55788.6562,0.000238738459,5.21392831E-05
55795.6562,0.000301097927,5.39970715E-05
55802.6562,0.000287134084,7.01712561E-05
55809.6562,0.000467172387,8.14824816E-05
55816.6562,0.000417309464,8.38270716E-05
55823.6562,0.000467347389,7.87639947E-05
55830.6562,0.000382159662,9.75441435E-05
55837.6562,0.000304518617,6.70547452E-05
55844.6562,0.000375388074,7.51144398E-05
55851.6562,0.000268584583,7.87372992E-05
55858.6562,0.000414214941,9.02252214E-05
55865.6562,0.000420059776,9.28938825E-05
55872.6562,0.000380058773,1.02710226E-04
55879.6562,0.000224760719,4.99925263E-05
55886.6562,0.00014101548,4.32205707E-05
55893.6562,0.000208672514,4.77582034E-05
55900.6562,0.0001792353,,3.36001431E-05
55907.6562,0.000271862547,6.61068043E-05
55914.6562,0.000249385717,7.07759973E-05
55921.6562,9.99961339E-05,2.13463627E-05
55928.6562,0.000245412288,5.67111747E-05
55935.6562,0.000241876303,6.39082064E-05
55942.6562,0.0002725987,,7.25506252E-05
55949.6562,0.00016819514,5.13508312E-05
55956.6562,0.000199209579,5.52154888E-05
55963.6562,0.000182533491,5.58029933E-05
55970.6562,0.000195505985,5.01553841E-05
55977.6562,0.000252289581,6.69383298E-05
55984.6562,0.000140585995,4.08505366E-05
55991.6562,0.000265789829,4.15711183E-05
55998.6562,0.000368971057,7.47972881E-05
56005.6562,0.000327649934,7.67870297E-05
56012.6562,0.000350323651,7.34506248E-05
56019.6562,0.000202172974,4.82251889E-05
56026.6562,0.000253889069,7.15753995E-05
56033.6562,0.000332252355,7.31609325E-05
56040.6562,0.000344123342,7.64458382E-05
56047.6562,0.000360995415,5.87970935E-05
56054.6562,0.000306123635,6.93884795E-05
56061.6562,0.000377969671,6.69084038E-05
56068.6562,0.000407078944,8.05472955E-05
56075.6562,0.000351258146,7.16466893E-05
56082.6562,0.000376789219,8.12896105E-05
56089.6562,0.000373230549,7.37466544E-05
56096.6562,0.000488887425,9.76803858E-05
56103.6562,0.000580020831,1.08859924E-04
56110.6562,0.000429042499,8.78071005E-05
56117.6562,0.0014062447,,1.54675523E-04
56124.6562,0.00098726782,1.47292565E-04
56131.6562,0.000877852784,1.06333988E-04
56138.6562,0.000955182244,1.18671807E-04
56145.6562,0.00111888966,1.28077707E-04
56152.6562,0.00141931092,2.87910836E-04
56159.6562,0.00134875358,1.45557904E-04
56166.6562,0.000813433493,1.54857946E-04
56173.6562,0.000854726881,1.20391611E-04
56180.6562,0.000510770944,2.32059028E-04
56187.6562,0.000328175898,4.16429502E-05
56194.6562,9.4240022E-05,8.26388932E-05
56201.6562,0.000399279292,9.27861547E-05
56208.6562,0.00014881228,4.17415249E-05
