t,x,err
54930.995393,19.87740,0.16483
54932.965949,42.54218,0.29257
54935.180179,36.77446,0.19620
54937.085821,33.04882,0.14944
54939.040870,27.94507,0.16042
54943.100660,30.27645,0.21240
54944.264183,32.23828,0.13809
54945.028510,29.99298,0.15969
54946.946315,32.67248,0.17828
54948.917668,27.39902,0.13862
54950.962573,25.27864,0.15160
54952.970546,18.57314,0.14129
54954.962429,20.29868,0.15610
54968.953636,17.43019,0.14482
54971.914005,31.71504,0.58633
54972.961581,24.09100,0.16342
54973.194947,21.54110,0.15343
54973.564612,22.38766,0.15803
54973.794452,21.60764,0.17343
54973.881804,19.59980,0.16499
54974.195691,17.66178,0.13919
54974.396751,18.14943,0.14644
54974.647963,22.72108,0.15760
54974.880630,24.46681,0.16972
54975.502349,25.79737,0.09753
54976.506485,24.52997,0.11828
54977.509661,27.30573,0.08969
54978.183222,28.46045,0.17680
54978.451496,31.75472,0.17065
54978.718168,31.03211,0.18021
54978.919202,30.14515,0.18399
55147.752298,95.52192,0.19392
55149.555120,62.84850,0.28276
55150.559609,55.25898,0.25715
55150.737353,60.98591,0.14685
55151.474555,46.32739,0.91644
55152.321490,49.16892,0.12832
55152.504714,50.56813,0.27371
55153.483992,42.89182,0.17937
55154.496831,38.76599,0.15065
55155.492871,43.88190,0.26135
55156.132841,42.96435,0.15059
55158.274307,37.04173,0.16003
55174.693373,28.25604,0.17365
55176.236761,31.80645,0.19313
55178.235895,32.72879,0.19082
55180.242838,50.67596,0.23375
55182.189553,91.33831,0.32150
55186.146581,33.55206,0.18806
55188.855397,50.62168,0.16444
55190.416151,47.42161,0.21686
55192.426593,44.45128,0.20269
55196.441078,67.69405,0.26277
55198.347236,69.87559,0.27993
55200.239978,67.92782,0.29546
55202.544422,53.73572,0.24705
55204.314567,75.22240,0.31611
55205.018749,42.31467,1.67230
55205.751150,47.00982,0.13898
55208.058213,42.32608,0.16120
55209.368473,40.86191,0.20002
55210.368190,66.35648,0.24064
55211.369191,71.07339,0.27662
55211.854033,57.48559,0.25964
55212.377156,35.81420,0.19466
55212.708427,42.16579,0.33553
55213.343119,24.75054,0.11594
55214.348552,20.32094,0.10183
55215.267222,53.49736,0.26012
55215.333821,56.07117,0.26996
55216.329941,51.35273,0.27997
55217.325110,32.79214,0.18640
55219.347052,24.70683,0.15523
55220.283728,42.44090,0.32948
55223.280375,34.26780,0.19665
55225.358434,18.57773,0.14049
55226.290694,10.19648,0.13113
55227.169893,5.99922,0.13892
55228.297478,8.74216,0.09874
55230.107145,17.48420,0.13652
55232.050032,54.40111,0.25182
55234.191984,26.36026,0.51320
55235.332883,27.27492,0.17383
55236.062726,27.43721,0.32911
55237.012868,31.44147,0.18872
55238.067756,31.92813,0.17705
55239.076849,62.55229,0.24868
55240.003458,25.30611,1.31449
55240.009981,33.69184,0.20199
55242.011095,39.91947,1.77108
